latitude,longitude,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.36845666666667,-70.690285,27.29,29.11,28.3,957.68,0.0,"18/01, 13:27:17"
-33.36845666666667,-70.690285,27.2,29.05,28.21,957.68,0.0,"18/01, 13:27:21"
-33.36845666666667,-70.690285,27.14,29.0,28.31,957.73,-0.06,"18/01, 13:27:25"
-33.36845666666667,-70.690285,27.08,28.92,28.41,957.74,0.0,"18/01, 13:27:29"
-33.36845666666667,-70.690285,27.07,28.89,28.51,957.74,0.03,"18/01, 13:27:33"
-33.36845666666667,-70.690285,27.08,28.83,28.7,957.77,-0.0,"18/01, 13:27:37"
-33.36845666666667,-70.690285,27.11,28.8,28.8,957.76,0.06,"18/01, 13:27:41"
-33.368455,-70.690285,27.0,28.78,28.7,957.76,-0.0,"18/01, 13:27:45"
-33.368455,-70.690285,27.05,28.76,28.9,957.76,0.12,"18/01, 13:27:49"
-33.368455,-70.690285,27.05,28.73,29.1,957.73,-0.0,"18/01, 13:27:53"
-33.368455,-70.690285,27.1,28.72,29.3,957.74,0.06,"18/01, 13:27:57"
-33.36845666666667,-70.69028666666667,27.05,28.73,29.3,957.74,0.0,"18/01, 13:28:01"
-33.368455,-70.69028666666667,26.89,28.69,28.92,957.76,0.07,"18/01, 13:28:05"
-33.368455,-70.69028666666667,26.78,28.61,28.81,957.73,-0.0,"18/01, 13:28:09"
-33.368455,-70.69028666666667,26.78,28.58,28.81,957.73,0.09,"18/01, 13:28:13"
-33.368455,-70.69028666666667,26.81,28.48,28.92,957.72,0.0,"18/01, 13:28:17"
-33.368455,-70.69028666666667,26.77,28.42,29.02,957.68,0.04,"18/01, 13:28:21"
-33.368455,-70.69028666666667,26.81,28.41,29.02,957.7,0.0,"18/01, 13:28:25"
-33.368455,-70.69028833333333,26.8,28.43,29.11,957.72,0.11,"18/01, 13:28:29"
-33.368455,-70.69028833333333,26.74,28.38,29.11,957.74,0.0,"18/01, 13:28:33"
-33.368455,-70.69028833333333,26.7,28.33,29.13,957.74,0.07,"18/01, 13:28:37"
